-250	-82	-525
-251	-83	-530
-256	-85	-530
-252	-91	-527
-255	-82	-531
-251	-81	-522
-257	-83	-522
-257	-84	-529
-253	-83	-523
-248	-80	-528
-251	-84	-523
-251	-82	-528
-255	-92	-523
-250	-85	-526
-251	-85	-516
-254	-84	-528
-249	-83	-522
-251	-83	-524
-245	-81	-521
-251	-90	-526
-250	-85	-527
-249	-85	-524
-253	-83	-528
-256	-87	-526
-355	-44	-383
-331	-34	-347
-234	23	-332
-194	38	-349
-156	20	-381
-145	-4	-429
-140	-17	-445
-121	-1	-420
-23	22	-363
-28	20	-359
-20	54	-247
-23	63	-224
0	54	-225
4	52	-210
41	31	-217
122	-26	-235
154	-72	-245
212	-188	-270
226	-272	-268
231	-350	-233
201	-429	-227
102	-537	-239
-30	-588	-226
-94	-600	-205
-163	-599	-224
-300	-544	-215
-346	-520	-229
-419	-474	-230
-487	-389	-212
-545	-334	-193
-550	-309	-218
-552	-216	-233
-534	-171	-227
-488	-91	-202
-397	-8	-231
-346	26	-192
-321	34	-171
-319	26	-183
-280	52	-187
-207	68	-136
-184	73	-155
-113	70	-174
-100	76	-182
-19	43	-224
11	39	-212
22	35	-200
63	5	-237
93	-20	-233
117	-34	-214
209	-182	-220
227	-289	-268
222	-336	-287
216	-349	-290
225	-295	-329
172	-219	-419
105	-118	-418
81	-96	-411
79	-99	-412
68	-87	-404
-23	-21	-394
-206	19	-333
-213	-2	-367
-249	-56	-430
-303	-125	-454
-312	-194	-477
-287	-198	-484
-296	-190	-478
-276	-190	-487
-276	-191	-491
-267	-272	-488
-284	-177	-487
-145	-54	-467
-86	-30	-434
117	-58	-342
167	-57	-227
144	-56	-283
47	-67	-427
-135	-77	-488
-254	-58	-455
-381	-35	-324
-419	-52	-199
-394	-54	-85
-407	-43	-117
-310	-72	-431
-82	-64	-476
51	-41	-398
134	-32	-254
130	-28	-228
110	-29	-315
-112	-10	-437
-289	18	-354
-369	1	-252
-363	-5	-279
-297	-36	-432
-146	-56	-481
-85	-60	-483
-49	-72	-469
-15	-9	-395
-14	52	-281
-66	72	-246
-57	67	-256
-133	55	-327
-316	13	-326
-302	-103	-455
-224	-178	-527
18	-127	-496
13	-48	-432
-7	10	-371
-37	30	-355
18	37	-231
52	25	-195
3	45	-204
11	50	-203
-2	51	-238
-251	21	-335
-280	-104	-456
-255	-314	-476
-276	-199	-452
-245	-190	-455
-235	-147	-435
-234	-135	-427
-236	-133	-431
-235	-140	-433
-236	-152	-440
-246	-162	-447
-247	-273	-463
-12	-286	-474
-60	-207	-478
-101	-218	-491
-6	-319	-457
-30	-367	-449
-35	-327	-464
-58	-269	-478
-68	-190	-473
-60	-235	-475
-58	-325	-467
-56	-381	-447
-6	-361	-443
21	-318	-458
76	-214	-442
62	-260	-457
60	-279	-454
37	-287	-484
44	-237	-474
105	-146	-379
82	-162	-410
69	-179	-428
60	-246	-458
-8	-308	-493
-64	-331	-497
-62	-317	-500
-34	-341	-484
-105	-366	-499
-231	-354	-476
-240	-325	-486
-250	-292	-481
-235	-273	-486
-74	-144	-479
-62	-62	-425
-57	-26	-391
-53	4	-341
-58	1	-349
-46	0	-347
-45	-12	-359
-37	-12	-364
-43	-9	-364
-53	-27	-387
-50	-29	-395
-36	-38	-397
-64	-135	-476
-35	-340	-489
-76	-401	-477
-61	-392	-481
-33	-398	-466
-10	-395	-466
-37	-391	-475
-21	-387	-468
-49	-408	-472
-88	-402	-474
-102	-409	-475
-105	-402	-477
-165	-370	-493
-199	-337	-493
-205	-332	-484
-234	-309	-485
-249	-302	-482
-263	-297	-476
-275	-268	-478
-282	-220	-464
-266	-120	-450
-215	-78	-443
-202	-80	-445
-189	-84	-449
-177	-76	-447
-173	-78	-448
-174	-87	-456
-178	-89	-453
-215	-105	-455
-249	-142	-457
-266	-136	-447
-275	-143	-444
-289	-192	-455
-278	-234	-468
-282	-223	-464
-266	-262	-481
-144	-376	-489
-102	-402	-476
-110	-401	-477
-101	-394	-480
-41	-378	-470
45	-304	-460
42	-269	-462
43	-260	-469
31	-266	-467
45	-325	-462
61	-338	-446
62	-321	-448
-22	-324	-484
-203	-283	-494
-299	-183	-442
-83	-317	-508
-26	-271	-496
-71	-246	-507
-11	-154	-468
113	-197	-412
-43	-195	-495
-7	-187	-478
-107	-261	-503
-94	-323	-501
-56	-297	-503
-21	-275	-493
-5	-348	-484
-90	-416	-468
-125	-418	-473
-129	-428	-466
-121	-421	-472
-122	-412	-469
-25	-380	-471
-69	-276	-505
-60	-109	-461
-108	-113	-472
-142	-109	-474
-174	-237	-506
-161	-221	-507
-145	-39	-415
-145	-19	-401
-138	-10	-384
-142	-14	-393
-136	-21	-398
-80	-127	-479
-60	-111	-455
-181	-10	-370
-264	16	-283
-249	28	-267
-206	47	-250
-202	46	-260
-201	45	-275
-91	-105	-464
-149	-196	-500
7	-243	-477
-209	-228	-494
-237	-186	-480
20	-220	-476
53	-173	-434
97	-140	-385
-152	-147	-479
-301	-90	-396
-265	-53	-390
-173	-92	-456
-167	-126	-476
-31	-157	-503
-213	-64	-482
-218	-74	-496
-198	-98	-513
-194	-93	-516
-194	-92	-515
-199	-95	-514
-193	-96	-519
-195	-91	-515
-196	-97	-512
-201	-94	-515
-195	-92	-516
-200	-98	-513
-200	-95	-510
-202	-97	-514
-192	-94	-522
-193	-95	-521
-197	-95	-508
-195	-94	-516
-195	-90	-516
-202	-93	-515
-204	-95	-520
-192	-95	-517
-198	-92	-518
-194	-94	-515
-196	-93	-514
-195	-91	-515
-194	-100	-515
-201	-90	-517
-199	-95	-520
-199	-98	-518
-192	-93	-523
-198	-92	-517
-198	-95	-514
-194	-93	-517
-200	-94	-514
-199	-100	-516
-198	-95	-507
-191	-93	-517
-197	-96	-515
-199	-93	-520
-197	-95	-515
-194	-93	-517
-193	-95	-512
-197	-93	-512
-197	-93	-518
-194	-93	-512
-192	-93	-517
-194	-98	-513
-198	-92	-518
-194	-97	-514
-197	-90	-512
-198	-95	-514
-199	-96	-512
-207	-95	-515
-199	-98	-522
-203	-93	-516
-193	-87	-520
-201	-95	-517
-201	-95	-519
-200	-94	-520
-199	-91	-517
-199	-94	-521
-198	-98	-522
-191	-96	-520
-196	-90	-517
-202	-98	-517
-196	-94	-518
